,path,state
0,nor\Обрезанные\225_ceed118c-6743-441b-a5ff-62e8bcb297c9.png,normal
1,nor\Обрезанные\226_d7166a4d-5f1f-4d07-a324-d8a1d3983ac5.png,normal
2,nor\Обрезанные\301_f90c1fd3-9e57-4561-8502-4ae5783ef5ff.png,normal
3,nor\Обрезанные\304_e048662d-7973-47aa-aa8f-667882840e09.png,normal
4,nor\Обрезанные\440_cd72aba6-fdca-4247-9422-d5b663241472.png,normal
5,nor\Обрезанные\448_8df5c87a-ee38-42a9-8485-ee3ab6d6c058.png,normal
6,nor\Обрезанные\451_5cd4414e-3be6-4835-9561-6f041bb03cef.png,normal
7,nor\Обрезанные\451_f4505af1-3f07-4287-8323-9ecb8b277cfc.png,normal
8,nor\Обрезанные\455_4d66450c-5d01-4361-88d0-be4106b24ab7.png,normal
9,nor\Обрезанные\456_73361f17-3f5e-47a2-8ca5-5862a01d7117.png,normal
10,nor\Обрезанные\466_11622579-aa42-4506-8126-e74432152c3e.png,normal
11,nor\Обрезанные\466_450dea6d-360a-4e0e-8fc1-18526481d87f.png,normal
12,nor\Обрезанные\466_865fbc3f-4836-4205-bd68-6101bf445c44.png,normal
13,nor\Обрезанные\468_34254c93-282d-4d1c-8248-c969f1740d87.png,normal
14,nor\Обрезанные\469_6a8aeb99-048e-43c2-a84b-53b6232fd023.png,normal
15,nor\Обрезанные\477_a72e1384-23d7-4943-b0d2-3518aa7b5c06.png,normal
16,nor\Обрезанные\480_cd5c94ae-e9e0-4784-a4d9-3d0db58e3d85.png,normal
17,nor\Обрезанные\485_2c10bae4-771a-495c-a4a5-6435786b7558.png,normal
18,nor\Обрезанные\487_58790bfe-a183-4b16-91ff-ade3ed968abe.png,normal
19,nor\Обрезанные\499_a23fee4e-414d-4566-93b0-9dea899b3cad.png,normal
20,nor\Обрезанные\509_2d3a954c-7333-427f-9ffc-f6f0279793f4.png,normal
21,nor\Обрезанные\596_9d7f5e3e-94e9-43fe-baa2-33e09d2dbcd5.png,normal
22,nor\Обрезанные\597_4e0f9e1c-71e3-4557-bb53-67cbb4b1b8d0.png,normal
23,nor\Обрезанные\598_9cb42967-715a-44ac-8797-c170d49f5bcf.png,normal
24,nor\Обрезанные\599_e49dc085-5806-4b94-9a95-7cc8d774ba23.png,normal
25,nor\Обрезанные\599_ef528fbb-832a-47a6-b510-d09f24b17c45.png,normal
26,nor\Обрезанные\998_75e0693f-4416-457a-a310-f76c0d018ffd.png,normal
27,nor\Обрезанные\998_8ebc7927-2156-4cbb-84bd-f4f6b8af3939.png,normal
28,nor\Обрезанные\ocr_result_1757342371 64_ocr_img .png,normal
29,nor\Обрезанные\ocr_result_1757342827 39_ocr_img .png,normal
30,nor\Обрезанные\ocr_result_1757342875 63_ocr_img .png,normal
31,nor\Обрезанные\ocr_result_1757342968 76_ocr_img .png,normal
32,nor\Обрезанные\ocr_result_1757343106 58_ocr_img .png,normal
33,nor\Обрезанные\Без названия (1).png,normal
34,nor\Обрезанные\Без названия (2).png,normal
35,nor\Обрезанные\Без названия (4).png,normal
36,nor\Обрезанные\загружен124ное (87).png,normal
37,nor\Обрезанные\загруженное (100).png,normal
38,nor\Обрезанные\загруженное (11) (1).png,normal
39,nor\Обрезанные\загруженное (17) (1).png,normal
40,nor\Обрезанные\загруженное (23) (1).png,normal
41,nor\Обрезанные\загруженное (24) (1).png,normal
42,nor\Обрезанные\загруженное (25) (1).png,normal
43,nor\Обрезанные\загруженное (4) (1).png,normal
44,nor\Обрезанные\загруженное (45) (1).png,normal
45,nor\Обрезанные\загруженное (46) (1).png,normal
46,nor\Обрезанные\загруженное (47) (1).png,normal
47,nor\Обрезанные\загруженное (48) (1).png,normal
48,nor\Обрезанные\загруженное (49) (1).png,normal
49,nor\Обрезанные\загруженное (50) (1).png,normal
50,nor\Обрезанные\загруженное (52) (1).png,normal
51,nor\Обрезанные\загруженное (53) (1).png,normal
52,nor\Обрезанные\загруженное (54) (1).png,normal
53,nor\Обрезанные\загруженное (55) (1).png,normal
54,nor\Обрезанные\загруженное (56) (1).png,normal
55,nor\Обрезанные\загруженное (57) (1).png,normal
56,nor\Обрезанные\загруженное (58) (1).png,normal
57,nor\Обрезанные\загруженное (60) (1).png,normal
58,nor\Обрезанные\загруженное (61) (1).png,normal
59,nor\Обрезанные\загруженное (62) (1).png,normal
60,nor\Обрезанные\загруженное (63) (1).png,normal
61,nor\Обрезанные\загруженное (64) (1).png,normal
62,nor\Обрезанные\загруженное (65) (1).png,normal
63,nor\Обрезанные\загруженное (66) (1).png,normal
64,nor\Обрезанные\загруженное (67) (1).png,normal
65,nor\Обрезанные\загруженное (68) (1).png,normal
66,nor\Обрезанные\загруженное (69) (1).png,normal
67,nor\Обрезанные\загруженное (7) (1).png,normal
68,nor\Обрезанные\загруженное (70) (1).png,normal
69,nor\Обрезанные\загруженное (71) (1).png,normal
70,nor\Обрезанные\загруженное (72) (1).png,normal
71,nor\Обрезанные\загруженное (73) (1).png,normal
72,nor\Обрезанные\загруженное (75) (1).png,normal
73,nor\Обрезанные\загруженное (76) (1).png,normal
74,nor\Обрезанные\загруженное (77) (1).png,normal
75,nor\Обрезанные\загруженное (87).png,normal
76,nor\Обрезанные\загруженное (90).png,normal
77,nor\Обрезанные\загруженное (91).png,normal
78,nor\Обрезанные\загруженное (92).png,normal
79,nor\Обрезанные\загруженное (93).png,normal
80,nor\Обрезанные\загруженное (94).png,normal
81,nor\Обрезанные\загруженное (95).png,normal
82,nor\Обрезанные\загруженное (96).png,normal
83,nor\Обрезанные\загруженное (97).png,normal
84,nor\Обрезанные\загруженное (98).png,normal
85,nor\Обрезанные\загруженное (99).png,normal
86,nor\Обрезанные\загруженное - 2025-09-17T120924.680.png,normal
87,nor\Обрезанные\загруженное - 2025-09-17T120927.261.png,normal
88,nor\Обрезанные\загруженное - 2025-09-17T120930.014.png,normal
89,nor\Обрезанные\загруженное - 2025-09-17T120933.045.png,normal
90,nor\Обрезанные\загруженное - 2025-09-17T120935.896.png,normal
91,nor\Обрезанные\загруженное - 2025-09-17T120942.845.png,normal
92,nor\Обрезанные\загруженное - 2025-09-17T120945.671.png,normal
93,nor\Обрезанные\загруженное - 2025-09-30T163012.674.png,normal
94,nor\Обрезанные\загруженное - 2025-09-30T163015.693.png,normal
95,nor\Обрезанные\загруженное - 2025-09-30T163018.629.png,normal
96,nor\Обрезанные\загруженное - 2025-09-30T163030.525.png,normal
97,nor\Обрезанные\загруженное - 2025-10-02T103255.703.png,normal
98,nor\Обрезанные\загруженное - 2025-10-02T103311.913.png,normal
99,nor\Обрезанные\загруженное - 2025-10-02T103316.010.png,normal
0,nor\Обрезанные\искажение солнце\118_0299e275-a56b-4dc1-b05b-202f37cc91e5.png,sun
1,nor\Обрезанные\искажение солнце\118_2a2cce65-2a8b-4353-b23d-d43b68f308cd.png,sun
2,nor\Обрезанные\искажение солнце\118_300552be-3bda-4c26-912f-97d1fff95d32.png,sun
3,nor\Обрезанные\искажение солнце\118_57e8938e-b6f2-4e86-ba84-c35c1373466c.png,sun
4,nor\Обрезанные\искажение солнце\118_839d93ca-2c77-4379-963b-f86f1c2e047f.png,sun
5,nor\Обрезанные\искажение солнце\118_956130d8-2a27-4a36-952c-69ea52e49b9a.png,sun
6,nor\Обрезанные\искажение солнце\118_b49b0a8c-a822-4817-b4c5-b13d303e616d.png,sun
7,nor\Обрезанные\искажение солнце\118_b56005fc-24ac-4cde-8b7a-1eed3c99c5c2.png,sun
8,nor\Обрезанные\искажение солнце\123_38cf50a8-35db-461b-928f-9472666bf58b.png,sun
9,nor\Обрезанные\искажение солнце\123_4f6a3774-3805-47cb-af60-0796916bcf6e.png,sun
10,nor\Обрезанные\искажение солнце\123_8952c7bb-2709-4555-bcc8-e0098fa17c8f.png,sun
11,nor\Обрезанные\искажение солнце\123_95ad8006-7633-4ab2-8c3b-f7e2e6aea0fe.png,sun
12,nor\Обрезанные\искажение солнце\123_9a46abeb-d8fe-4413-b7bf-cd96b140a2e6.png,sun
13,nor\Обрезанные\искажение солнце\123_cc673900-e324-48be-b8e0-4814a3c576ef.png,sun
14,nor\Обрезанные\искажение солнце\123_cf11d3c7-53f8-466e-bb60-1c8d7068f303.png,sun
15,nor\Обрезанные\искажение солнце\123_e1c25b4b-ec3c-426b-b93d-456831053963.png,sun
16,nor\Обрезанные\искажение солнце\18_46a5e699-676b-48bf-8540-ec8f593ca676.png,sun
17,nor\Обрезанные\искажение солнце\313_e34e5f9f-72b2-402d-bbb6-e3832dfc4f24.png,sun
18,nor\Обрезанные\искажение солнце\441_0f3be5c5-c4e1-4869-b943-eb746bc4b4bb.png,sun
19,nor\Обрезанные\искажение солнце\441_1dc4825b-558d-4ccc-92e6-f73e42546a91.png,sun
20,nor\Обрезанные\искажение солнце\441_33b78502-8eb8-4147-a602-c9d14c782fd7.png,sun
21,nor\Обрезанные\искажение солнце\441_57568bd6-1957-4534-9dd1-590633188965.png,sun
22,nor\Обрезанные\искажение солнце\441_6e78c573-8bb4-4ae8-bce1-0ce07ebbbe32.png,sun
23,nor\Обрезанные\искажение солнце\441_b8df9292-e61d-4514-9fa0-d8025e0ee128.png,sun
24,nor\Обрезанные\искажение солнце\441_d8f4610e-cee3-403c-b0f8-85f4b45c841b.png,sun
25,nor\Обрезанные\искажение солнце\441_df76dc8e-66ee-4dc7-8b69-ce9bee027fb9.png,sun
26,nor\Обрезанные\искажение солнце\7_05b111dc-72cf-484d-94ad-c203a74be7b7.png,sun
27,nor\Обрезанные\искажение солнце\7_068545c6-ad79-472e-b0fa-e217a288e6c7.png,sun
28,nor\Обрезанные\искажение солнце\7_0bfed42b-8397-435d-8431-b7641f99fe58.png,sun
29,nor\Обрезанные\искажение солнце\7_416bc766-545e-4dd6-bbb0-48bcbd7d6ae6.png,sun
30,nor\Обрезанные\искажение солнце\7_6d151796-a94f-4f3b-a2df-279946fde15b.png,sun
31,nor\Обрезанные\искажение солнце\7_8f12602b-992f-4226-aed9-de614576763f.png,sun
32,nor\Обрезанные\искажение солнце\7_b6a51a1d-2a40-485b-88cc-fdbb6befd94d.png,sun
33,nor\Обрезанные\искажение солнце\7_cdfc9999-c7a6-4e3d-a680-10984ec44798.png,sun
34,nor\Обрезанные\искажение солнце\ocr_result_1757342543 3_ocr_img .png,sun
35,nor\Обрезанные\искажение солнце\ocr_result_1757342737 43_ocr_img .png,sun
36,nor\Обрезанные\искажение солнце\ocr_result_1757343011 46_ocr_img .png,sun
37,nor\Обрезанные\искажение солнце\ocr_result_1757343104 80_ocr_img .png,sun
38,nor\Обрезанные\искажение солнце\ocr_result_1757343104 92_ocr_img .png,sun
39,nor\Обрезанные\искажение солнце\ocr_result_1757343999 65_ocr_img .png,sun
40,nor\Обрезанные\искажение солнце\ocr_result_1757344145 6_ocr_img .png,sun
41,nor\Обрезанные\искажение солнце\ocr_result_1757345774 20_ocr_img .png,sun
42,nor\Обрезанные\искажение солнце\Без названия (3).png,sun
43,nor\Обрезанные\искажение солнце\Без названия.png,sun
44,nor\Обрезанные\искажение солнце\загруж3ен123ное (87).png,sun
45,nor\Обрезанные\искажение солнце\загруженное (2) (1).png,sun
46,nor\Обрезанные\искажение солнце\загруженное (51) (1).png,sun
47,nor\Обрезанные\искажение солнце\загруженное (59) (1).png,sun
48,nor\Обрезанные\искажение солнце\загруженное (74) (1).png,sun
49,nor\Обрезанные\искажение солнце\загруженное (84) (1).png,sun
50,nor\Обрезанные\искажение солнце\загруженное (89).png,sun
51,nor\Обрезанные\искажение солнце\загруженное - 2025-09-17T120939.032.png,sun
52,nor\Обрезанные\искажение солнце\загруженное - 2025-09-30T163009.322.png,sun
53,nor\Обрезанные\искажение солнце\загруженное 3(60).png,sun
54,nor\Обрезанные\искажение солнце\загруженное2 (86).png,sun
55,nor\Обрезанные\искажение солнце\загруженное3 (60).png,sun
0,nor\Обрезанные\искажение ночь\154_05fb0ee5-5860-4ae0-b52d-32e28dc9595c.png,night
1,nor\Обрезанные\искажение ночь\75_48018a58-a07a-43ad-88ce-11b9645952e8.png,night
2,nor\Обрезанные\искажение ночь\92_5694d77c-5d53-4ca6-b828-d9e5718fffa8.png,night
3,nor\Обрезанные\искажение ночь\загружен123ное (87).png,night
4,nor\Обрезанные\искажение ночь\загружен124124ное (78).png,night
5,nor\Обрезанные\искажение ночь\загруженн1231ое (78).png,night
6,nor\Обрезанные\искажение ночь\загруженн124124ое (78).png,night
7,nor\Обрезанные\искажение ночь\загруженное (1) (1).png,night
8,nor\Обрезанные\искажение ночь\загруженное (10) (1).png,night
9,nor\Обрезанные\искажение ночь\загруженное (12) (1).png,night
10,nor\Обрезанные\искажение ночь\загруженное (13) (1).png,night
11,nor\Обрезанные\искажение ночь\загруженное (14) (1).png,night
12,nor\Обрезанные\искажение ночь\загруженное (15) (1).png,night
13,nor\Обрезанные\искажение ночь\загруженное (16) (1).png,night
14,nor\Обрезанные\искажение ночь\загруженное (18) (1).png,night
15,nor\Обрезанные\искажение ночь\загруженное (19) (1).png,night
16,nor\Обрезанные\искажение ночь\загруженное (20) (1).png,night
17,nor\Обрезанные\искажение ночь\загруженное (21) (1).png,night
18,nor\Обрезанные\искажение ночь\загруженное (26) (1).png,night
19,nor\Обрезанные\искажение ночь\загруженное (27) (1).png,night
20,nor\Обрезанные\искажение ночь\загруженное (27) (2).png,night
21,nor\Обрезанные\искажение ночь\загруженное (28) (1).png,night
22,nor\Обрезанные\искажение ночь\загруженное (29) (1).png,night
23,nor\Обрезанные\искажение ночь\загруженное (3) (1).png,night
24,nor\Обрезанные\искажение ночь\загруженное (30) (1).png,night
25,nor\Обрезанные\искажение ночь\загруженное (31) (1).png,night
26,nor\Обрезанные\искажение ночь\загруженное (32) (1).png,night
27,nor\Обрезанные\искажение ночь\загруженное (33) (1).png,night
28,nor\Обрезанные\искажение ночь\загруженное (34) (1).png,night
29,nor\Обрезанные\искажение ночь\загруженное (35) (1).png,night
30,nor\Обрезанные\искажение ночь\загруженное (36) (1).png,night
31,nor\Обрезанные\искажение ночь\загруженное (37) (1).png,night
32,nor\Обрезанные\искажение ночь\загруженное (38) (1).png,night
33,nor\Обрезанные\искажение ночь\загруженное (39) (1).png,night
34,nor\Обрезанные\искажение ночь\загруженное (5) (1).png,night
35,nor\Обрезанные\искажение ночь\загруженное (6) (1).png,night
36,nor\Обрезанные\искажение ночь\загруженное (78) (1).png,night
37,nor\Обрезанные\искажение ночь\загруженное (79) (1).png,night
38,nor\Обрезанные\искажение ночь\загруженное (8) (1).png,night
39,nor\Обрезанные\искажение ночь\загруженное (80) (1).png,night
40,nor\Обрезанные\искажение ночь\загруженное (81) (1).png,night
41,nor\Обрезанные\искажение ночь\загруженное (82) (1).png,night
42,nor\Обрезанные\искажение ночь\загруженное (83) (1).png,night
43,nor\Обрезанные\искажение ночь\загруженное (85) (1).png,night
44,nor\Обрезанные\искажение ночь\загруженное (87) (1).png,night
45,nor\Обрезанные\искажение ночь\загруженное (88).png,night
46,nor\Обрезанные\искажение ночь\загруженное (9) (1).png,night
47,nor\Обрезанные\искажение ночь\загруженное - 2025-09-18T224622.621.png,night
48,nor\Обрезанные\искажение ночь\загруженное - 2025-09-18T224704.786.png,night
49,nor\Обрезанные\искажение ночь\загруженное - 2025-09-18T224809.546.png,night
50,nor\Обрезанные\искажение ночь\загруженное21 (86).png,night
0,nor\Обрезанные\контраст\124_1956e2d8-59a8-4191-8a83-9e68f5e776a8.png,kontr
1,nor\Обрезанные\контраст\124_340c1a1f-2474-44c8-92e4-989b40e6223d.png,kontr
2,nor\Обрезанные\контраст\124_5408e7d3-be29-4f7b-8cb3-8d46e07f5d9d.png,kontr
3,nor\Обрезанные\контраст\124_62912d7e-5280-4b78-ae5b-8f9bfbb645b2.png,kontr
4,nor\Обрезанные\контраст\124_9ff322df-bc03-45ad-bcb1-2c6f716a27b0.png,kontr
5,nor\Обрезанные\контраст\124_bdfaa72e-4543-48ee-87f7-bf7ab492310e.png,kontr
6,nor\Обрезанные\контраст\124_ef613aad-2d48-4346-85ca-75ec3ae4dd99.png,kontr
7,nor\Обрезанные\контраст\127_1339f4f7-7fe9-4258-85e1-e286b3e20d97.png,kontr
8,nor\Обрезанные\контраст\127_1e8f6738-72b7-4e6d-821a-c6f74aa90980.png,kontr
9,nor\Обрезанные\контраст\127_21990597-31ed-4d4f-90cb-29315594dbc5.png,kontr
10,nor\Обрезанные\контраст\127_32f529c1-f8c3-4d0a-b06d-4fb53d7ba89f.png,kontr
11,nor\Обрезанные\контраст\127_3f23cabb-9690-49ed-a84a-39a872d32e27.png,kontr
12,nor\Обрезанные\контраст\127_65f21198-7158-4380-bcf0-b244995d2e78.png,kontr
13,nor\Обрезанные\контраст\127_cbe08b66-d2df-4c53-be47-681fe0298e17.png,kontr
14,nor\Обрезанные\контраст\137_4dee9e74-e504-4c57-b315-f2e9a1393194.png,kontr
